index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
8.1	क्षीयते		क्षीयते	क्षि1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}/क्षि2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;स्वादिः}/क्षि3{कर्मणि;लट्;प्र;एक;आत्मनेपदी;तुदादिः}/क्षी1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;क्र्यादिः}	क्षि1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}	अभिहित_कर्ता,6.1	अभिहित_कर्ता,6.1	KP	क्षीण_हुआ_जाता_है	क्षीण_हुआ_जाता_है
9.1	श्लेष्मा		श्लेष्मा	श्लेष्मन्{पुं;1;एक}	श्लेष्मन्{पुं;1;एक}	कर्ता,8.1	कर्ता,8.1	N1	कफ	कफ
10.1	तेन		तेन	तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनादिः}	तद्{सर्वनाम;नपुं;3;एक}	हेतुः,12.1	करणम्,16.1#हेतुः,16.1#हेतुः,12.1	N3	उससे	उससे
11.1	वायुः		वायुश्च	वायु{पुं;;1;एक}	वायु{पुं;;1;एक}	कर्ता,12.1	कर्ता,12.1#समुच्चितः,9.1	N1		
11.2	च		च	च{अव्य}	च{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1#समुच्चय_द्योतकः,11.1	NA		
12.1	वर्धते		वर्धते	वृध्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}	वृध्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}	अभिहित_कर्ता,9.1;सकर्मक	अभिहित_कर्ता,9.1;सकर्मक	KP	वृध्1ता_है	वृध्1ता_है
13.1	अतः		अतः	अतः{अव्य}	अतः{अव्य}	कार्य_द्योतकः,16.1	कार्य_द्योतकः,16.1	NA	अतः	अतः
14.1	अस्मिन्		अस्मिन्	इदम्{सर्वनाम;पुं;7;एक}/इदम्{सर्वनाम;नपुं;7;एक}	इदम्{सर्वनाम;पुं;7;एक}	अधिकरणम्,16.1	अधिकरणम्,16.1	N7	इसमें	इसमें
15.1	पटु-		पटु-कटु-अम्ल-व्यायाम-अर्ककरान्	पटु	पटु	इतरेतर-द्वन्द्वः,15.5	इतरेतर-द्वन्द्वः,15.5	CP	पटु-	पटु-
15.2	कटु-		--	कटु	कटु	इतरेतर-द्वन्द्वः,15.5	इतरेतर-द्वन्द्वः,15.5	CP	कटु-	कटु-
15.3	अम्ल-		--	अम्ल	अम्ल	इतरेतर-द्वन्द्वः,15.5	इतरेतर-द्वन्द्वः,15.5	CP	अम्ल-	अम्ल-
15.4	व्यायाम-		--	व्यायाम	व्यायाम	इतरेतर-द्वन्द्वः,15.5	इतरेतर-द्वन्द्वः,15.5	CP	व्यायाम-	व्यायाम-
15.5	अर्ककरान्		--	-	-	कर्म,16.1	कर्म,16.1	N2	-	-
16.1	त्यजेत्		त्यजेत्	त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	छोडे	छोडे
